Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Total Population,Population Density,Housing Units,Occupied Units,Vacant Units,White Pop,Black Pop,Am Indian Alaskan Native Pop,Asian,Native Hawaiian or PI,Other,Two or More Races,Non Hispanic,Hispanic
6065042744,Census Tract 427.44,"Census Tract 427.44, Riverside County, California",0,6,65,,42744,3597,254.3458131,1053,994,59,1446,44,64,32,10,1473,528,1312,2285
6065042745,Census Tract 427.45,"Census Tract 427.45, Riverside County, California",0,6,65,,42745,6212,420.8450908,2496,2367,129,3376,324,83,283,18,1104,1024,3781,2431
6065042746,Census Tract 427.46,"Census Tract 427.46, Riverside County, California",0,6,65,,42746,4435,13303.84939,1001,981,20,661,415,109,67,10,2489,684,740,3695
6065042747,Census Tract 427.47,"Census Tract 427.47, Riverside County, California",0,6,65,,42747,4310,2971.97031,1057,1034,23,600,576,75,170,26,2081,782,1015,3295
6065042748,Census Tract 427.48,"Census Tract 427.48, Riverside County, California",0,6,65,,42748,6271,2666.863498,2038,1904,134,3127,610,64,616,8,824,1022,4250,2021
6065042749,Census Tract 427.49,"Census Tract 427.49, Riverside County, California",0,6,65,,42749,5614,4409.119853,1658,1587,71,1823,538,99,676,33,1374,1071,2789,2825
6065042750,Census Tract 427.50,"Census Tract 427.50, Riverside County, California",0,6,65,,42750,4325,756.9108731,1257,1209,48,1628,375,26,601,23,833,839,2571,1754
6065042751,Census Tract 427.51,"Census Tract 427.51, Riverside County, California",0,6,65,,42751,5369,6349.52287,2174,2111,63,2684,509,46,306,36,844,944,3381,1988
6065042752,Census Tract 427.52,"Census Tract 427.52, Riverside County, California",0,6,65,,42752,5409,1965.374312,2481,2382,99,3369,305,53,353,21,557,751,3905,1504
6065042801,Census Tract 428.01,"Census Tract 428.01, Riverside County, California",0,6,65,,42801,4345,4866.747852,1272,1222,50,835,573,60,49,4,2052,772,1021,3324
6065042802,Census Tract 428.02,"Census Tract 428.02, Riverside County, California",0,6,65,,42802,6222,5104.53682,1591,1537,54,1035,579,135,73,22,2896,1482,1141,5081
6065042902,Census Tract 429.02,"Census Tract 429.02, Riverside County, California",0,6,65,,42902,4993,297.9610402,1505,1368,137,1345,164,134,72,5,2278,995,1261,3732
6065042903,Census Tract 429.03,"Census Tract 429.03, Riverside County, California",0,6,65,,42903,5673,329.1262152,1537,1433,104,1400,234,123,50,3,2771,1092,1204,4469
6065042905,Census Tract 429.05,"Census Tract 429.05, Riverside County, California",0,6,65,,42905,3670,761.6443479,902,884,18,784,154,62,49,3,1946,672,716,2954
6065042906,Census Tract 429.06,"Census Tract 429.06, Riverside County, California",0,6,65,,42906,6396,1463.196903,1452,1397,55,1146,368,195,68,9,3547,1063,920,5476
6065042907,Census Tract 429.07,"Census Tract 429.07, Riverside County, California",0,6,65,,42907,3461,394.0988618,963,903,60,872,94,82,35,4,1603,771,681,2780
6065042908,Census Tract 429.08,"Census Tract 429.08, Riverside County, California",0,6,65,,42908,4371,2122.495598,1073,1053,20,937,226,77,87,12,2044,988,876,3495
6065043001,Census Tract 430.01,"Census Tract 430.01, Riverside County, California",0,6,65,,43001,9758,1795.934857,3380,3238,142,3585,609,159,655,83,2861,1806,4537,5221
6065043003,Census Tract 430.03,"Census Tract 430.03, Riverside County, California",0,6,65,,43003,6647,9850.708741,2045,1931,114,2126,326,145,156,33,2665,1196,2094,4553
6065043005,Census Tract 430.05,"Census Tract 430.05, Riverside County, California",0,6,65,,43005,5744,1008.445946,1733,1653,80,2289,266,116,173,11,1750,1139,2255,3489
6065043006,Census Tract 430.06,"Census Tract 430.06, Riverside County, California",0,6,65,,43006,5079,1797.268421,1562,1476,86,1624,267,134,134,21,1993,906,1611,3468
6065043007,Census Tract 430.07,"Census Tract 430.07, Riverside County, California",0,6,65,,43007,6918,1082.656539,2074,2039,35,3273,537,87,410,10,1296,1305,3958,2960
6065043008,Census Tract 430.08,"Census Tract 430.08, Riverside County, California",0,6,65,,43008,6146,525.3644647,1925,1860,65,2880,223,92,326,22,1413,1190,3099,3047
6065043009,Census Tract 430.09,"Census Tract 430.09, Riverside County, California",0,6,65,,43009,6064,3742.834824,1693,1668,25,2503,325,74,414,20,1586,1142,2863,3201
6065043010,Census Tract 430.10,"Census Tract 430.10, Riverside County, California",0,6,65,,43010,6039,6490.570369,1667,1651,16,2630,224,89,195,5,1626,1270,2698,3341
